Départ;Arrivée;Voyageur;Profil / carte;Identifiant profil;Clé relation;Prix 2de (€);Prix 1re (€);Source;Date de vérification;Statut;Écart vs valeur actuelle
Lyon Part-Dieu;Meximieux – Pérouges;Adulte;Aucune — Plein tarif;adult-none;lyon-part-dieu|meximieux-perouges;9,60;14,60;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Meximieux – Pérouges;Adulte;illico LIBERTÉ — Semaine (-25 %);adult-illico-liberte-weekday;lyon-part-dieu|meximieux-perouges;7,20;11,00;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Meximieux – Pérouges;Adulte;illico LIBERTÉ — Week-end / Jour férié (-50 %);adult-illico-liberte-weekend;lyon-part-dieu|meximieux-perouges;4,80;7,30;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Meximieux – Pérouges;Adulte;illico LIBERTÉ — Accompagnant, Week-end / Jour férié (-50 %);adult-illico-liberte-weekend-companion;lyon-part-dieu|meximieux-perouges;4,80;7,30;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Meximieux – Pérouges;Adulte;illico LIBERTÉ JEUNES (-50 %);adult-illico-jeunes;lyon-part-dieu|meximieux-perouges;4,80;7,30;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Meximieux – Pérouges;Adulte;Carte Liberté SNCF (-25 %);adult-liberte-nationale;lyon-part-dieu|meximieux-perouges;7,20;11,00;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Meximieux – Pérouges;Adulte;Carte Familles Nombreuses (-30 %);adult-famille-nombreuse-30;lyon-part-dieu|meximieux-perouges;5,60;9,50;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Meximieux – Pérouges;Adulte;Carte Familles Nombreuses (-40 %);adult-famille-nombreuse-40;lyon-part-dieu|meximieux-perouges;4,80;8,70;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Meximieux – Pérouges;Adulte;Carte Familles Nombreuses (-50 %);adult-famille-nombreuse-50;lyon-part-dieu|meximieux-perouges;4,00;7,90;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Meximieux – Pérouges;Adulte;Carte Familles Nombreuses (-75 %);adult-famille-nombreuse-75;lyon-part-dieu|meximieux-perouges;2,00;5,90;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Meximieux – Pérouges;Adulte;Carte Militaire (-75 %);adult-military;lyon-part-dieu|meximieux-perouges;2,40;3,70;TER Auvergne-Rhône-Alpes;2026-09-02;lu directement;"écart (ancienne 2de 2,00 ; ancienne 1re 5,90)"
Lyon Part-Dieu;Meximieux – Pérouges;Adulte;Carte Famille Militaire (-40 %);adult-family-military;lyon-part-dieu|meximieux-perouges;5,80;8,80;SNCF Connect;2026-09-02;lu directement;identique
